text,category,priority
water pipeline leakage wasting water in Agra Fort area,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
stray cattle destroying crops in Gram Panchayat Bojhi farms,Rural Development (Panchayati Raj),Medium
park needs cleaning in Tehsil Bikapur residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
solar panel subsidy ki jankari chahiye Village Rampur ke liye,Electricity (UPPCL),Low
ladayi ho rahi hai Raebareli Market chourahe par,Police (Home Dept),High
meter reading galat hai Hardoi City wale ghar ki,Electricity (UPPCL),Medium
low voltage problem in Meerut City during evening hours,Electricity (UPPCL),Medium
street light pole looking tilted in Remote area of Sonbhadra,Electricity (UPPCL),Low
public toilet tap is dripping in Ghaziabad,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
loudspeaker shor kar raha hai Village Rampur mein raat ko,Police (Home Dept),Medium
"ganda paani nalo se aa raha hai Civil Lines, Kanpur area me",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"sewage water mixing with drinking water in Barabanki Town, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"live wire fell on the street in Sigra, Varanasi, huge danger to kids",Electricity (UPPCL),High
pradhan ne paisa kha liya Village Rampur road ka,Rural Development (Panchayati Raj),High
stray cattle destroying crops in Village Rampur farms,Rural Development (Panchayati Raj),Medium
" मच्छर बहुत हो गए हैं Hardoi City में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
kachra uthane vali gaadi nahi aayi Etawah Main mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
passport verification pending at Faizabad Chowk thana for 2 weeks,Police (Home Dept),Low
unhygienic toilets in the Village Basrehar government hospital,Health (Medical),Medium
oxygen cylinder available nahi hai Block Malihabad hospital me,Health (Medical),High
x-ray machine kharab hai Etawah Main mein,Health (Medical),Medium
sadak par bada gadda hai Gonda City market ke paas,Roads (PWD/NHAI),High
internet nahi chal raha Mau Tehsil panchayat bhavan me,Rural Development (Panchayati Raj),Low
fake medicine racket operating in Unnao City medical stores,Health (Medical),High
dogs roaming inside the ward at Hardoi City chc,Health (Medical),Medium
poore gaon mein light nahi hai Ghaziabad mein pichle 2 din se,Electricity (UPPCL),High
transformer caught fire in Barabanki Town and oil is leaking,Electricity (UPPCL),High
"Village Rampur me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
village pond is being encroached by builder in Block Malihabad,Rural Development (Panchayati Raj),Medium
solar panel subsidy ki jankari chahiye Raebareli Market ke liye,Electricity (UPPCL),Low
low voltage problem in Sitapur One during evening hours,Electricity (UPPCL),Medium
"child kidnapped from Hazratganj, Lucknow school area",Police (Home Dept),High
"encroachment by shopkeepers on road in Civil Lines, Kanpur",Roads (PWD/NHAI),Medium
general query about filing fir online for Prayagraj City resident,Police (Home Dept),Low
handpump kharab hai Gram Kachhona mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
character certificate chahiye Barabanki Town police station se,Police (Home Dept),Low
loudspeaker shor kar raha hai Village Rampur mein raat ko,Police (Home Dept),Medium
meter name change application pending in Agra Fort area,Electricity (UPPCL),Low
"zebra crossing repaint kara do Civil Lines, Kanpur chowk par",Roads (PWD/NHAI),Low
traffic police asking for bribe at Village Rampur crossing,Police (Home Dept),Medium
frequent power cuts in Noida Sector 18 is affecting exam preparation,Electricity (UPPCL),Medium
" मच्छर बहुत हो गए हैं Sitapur One में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"zebra crossing repaint kara do Civil Lines, Kanpur chowk par",Roads (PWD/NHAI),Low
talaab par kabza ho raha hai Village Basrehar gaon mein,Rural Development (Panchayati Raj),Medium
huge crater in middle of road at Agra Fort area causing accidents daily,Roads (PWD/NHAI),High
general query about filing fir online for Tehsil Bikapur resident,Police (Home Dept),Low
mnrega ka paisa nahi mila Gram Kachhona mein,Rural Development (Panchayati Raj),High
"sewage water mixing with drinking water in Tehsil Bikapur, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
village pond is being encroached by builder in Village Basrehar,Rural Development (Panchayati Raj),Medium
park needs cleaning in Gonda City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
poore gaon mein light nahi hai Village Chhata mein pichle 2 din se,Electricity (UPPCL),High
"clean water nahi aa raha hai Sigra, Varanasi mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
sadak toot gayi hai Village Chhata mein,Roads (PWD/NHAI),Medium
unhygienic toilets in the Basti government hospital,Health (Medical),Medium
unhygienic toilets in the Remote area of Sonbhadra government hospital,Health (Medical),Medium
oxygen cylinder available nahi hai Agra Fort area hospital me,Health (Medical),High
village pond is being encroached by builder in Gram Kachhona,Rural Development (Panchayati Raj),Medium
park needs cleaning in Unnao City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
village pond is being encroached by builder in Village Chhata,Rural Development (Panchayati Raj),Medium
solar panel subsidy ki jankari chahiye Village Chhata ke liye,Electricity (UPPCL),Low
street light pole looking tilted in Village Rampur,Electricity (UPPCL),Low
mnrega ka paisa nahi mila Mau Tehsil mein,Rural Development (Panchayati Raj),High
kachra uthane vali gaadi nahi aayi Etawah Main mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
water pipeline leakage wasting water in Sitapur One,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"flood water entered village houses in Mau Tehsil, need rescue",Rural Development (Panchayati Raj),High
birth certificate spelling correction request at Sitapur One,Health (Medical),Low
low voltage problem in Tehsil Bikapur during evening hours,Electricity (UPPCL),Medium
pradhan ne paisa kha liya Mau Tehsil road ka,Rural Development (Panchayati Raj),High
"park needs cleaning in Sigra, Varanasi residential area",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"birth certificate spelling correction request at Sigra, Varanasi",Health (Medical),Low
road construction incomplete in Raebareli Market,Roads (PWD/NHAI),Medium
public toilet tap is dripping in Gram Kachhona,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
ganda paani nalo se aa raha hai Block Malihabad area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
public toilet tap is dripping in Bareilly Cantt,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"footpath tiles broken in some places at Hazratganj, Lucknow",Roads (PWD/NHAI),Low
request to start sewing center for women in Tehsil Bikapur,Rural Development (Panchayati Raj),Low
street light pole looking tilted in Village Rampur,Electricity (UPPCL),Low
pradhan ne paisa kha liya Mau Tehsil road ka,Rural Development (Panchayati Raj),High
footpath tiles broken in some places at Meerut City,Roads (PWD/NHAI),Low
armed robbery in shop at Faizabad Chowk market last night,Police (Home Dept),High
footpath tiles broken in some places at Meerut City,Roads (PWD/NHAI),Low
village pond is being encroached by builder in Village Chhata,Rural Development (Panchayati Raj),Medium
garbage truck not coming to Village Rampur for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
solar panel subsidy ki jankari chahiye Agra Fort area ke liye,Electricity (UPPCL),Low
loudspeaker shor kar raha hai Gonda City mein raat ko,Police (Home Dept),Medium
internet nahi chal raha Remote area of Sonbhadra panchayat bhavan me,Rural Development (Panchayati Raj),Low
general query about filing fir online for Sitapur One resident,Police (Home Dept),Low
armed robbery in shop at Basti market last night,Police (Home Dept),High
doctor late aate hain Barabanki Town hospital mein,Health (Medical),Medium
mnrega ka paisa nahi mila Gram Panchayat Bojhi mein,Rural Development (Panchayati Raj),High
dogs roaming inside the ward at Ghaziabad chc,Health (Medical),Medium
street light pole looking tilted in Raebareli Market,Electricity (UPPCL),Low
footpath tiles broken in some places at Raebareli Market,Roads (PWD/NHAI),Low
"flood water entered village houses in Remote area of Sonbhadra, need rescue",Rural Development (Panchayati Raj),High
unhygienic toilets in the Etawah Main government hospital,Health (Medical),Medium
x-ray machine kharab hai Block Malihabad mein,Health (Medical),Medium
mnrega ka paisa nahi mila Mau Tehsil mein,Rural Development (Panchayati Raj),High
fake medicine racket operating in Gram Panchayat Bojhi medical stores,Health (Medical),High
street light pole looking tilted in Barabanki Town,Electricity (UPPCL),Low
phone chori ho gaya Basti market me,Police (Home Dept),Medium
phone chori ho gaya Remote area of Sonbhadra market me,Police (Home Dept),Medium
solar panel subsidy ki jankari chahiye Hardoi City ke liye,Electricity (UPPCL),Low
"Mau Tehsil me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
bridge railing toot gayi hai Barabanki Town mein,Roads (PWD/NHAI),High
"sadak toot gayi hai Sigra, Varanasi mein",Roads (PWD/NHAI),Medium
"primary school roof is leaking in Gram Kachhona, dangerous for kids",Rural Development (Panchayati Raj),Medium
sadak par bada gadda hai Tehsil Bikapur market ke paas,Roads (PWD/NHAI),High
long waiting line for opd registration in Faizabad Chowk,Health (Medical),Low
vaccine kab lagega Meerut City center par?,Health (Medical),Low
character certificate chahiye Post Kakori police station se,Police (Home Dept),Low
pradhan ne paisa kha liya Post Kakori road ka,Rural Development (Panchayati Raj),High
water pipeline leakage wasting water in Prayagraj City,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"oxygen cylinder available nahi hai Sigra, Varanasi hospital me",Health (Medical),High
stray cattle destroying crops in Tehsil Bikapur farms,Rural Development (Panchayati Raj),Medium
frequent power cuts in Prayagraj City is affecting exam preparation,Electricity (UPPCL),Medium
"sewage water mixing with drinking water in Gram Panchayat Bojhi, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
x-ray machine kharab hai Meerut City mein,Health (Medical),Medium
"primary school roof is leaking in Mau Tehsil, dangerous for kids",Rural Development (Panchayati Raj),Medium
pradhan embezzled all money for road construction in Village Basrehar,Rural Development (Panchayati Raj),High
"ambulance nahi aa rahi Basti mein, patient serious hai",Health (Medical),High
ganda paani nalo se aa raha hai Raebareli Market area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
potholes needs repair in Basti before monsoon,Roads (PWD/NHAI),Medium
garbage truck not coming to Mau Tehsil for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
huge crater in middle of road at Hardoi City causing accidents daily,Roads (PWD/NHAI),High
request to start sewing center for women in Post Kakori,Rural Development (Panchayati Raj),Low
"low voltage problem in Sigra, Varanasi during evening hours",Electricity (UPPCL),Medium
village pond is being encroached by builder in Block Malihabad,Rural Development (Panchayati Raj),Medium
"ganda paani nalo se aa raha hai Gomti Nagar, Lucknow area me",Sanitation & Water (Jal Nigam/Nagar Nigam),High
traffic police asking for bribe at Post Kakori crossing,Police (Home Dept),Medium
child kidnapped from Prayagraj City school area,Police (Home Dept),High
"park needs cleaning in Gomti Nagar, Lucknow residential area",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
birth certificate spelling correction request at Prayagraj City,Health (Medical),Low
village pond is being encroached by builder in Post Kakori,Rural Development (Panchayati Raj),Medium
"dogs roaming inside the ward at Gomti Nagar, Lucknow chc",Health (Medical),Medium
x-ray machine kharab hai Block Malihabad mein,Health (Medical),Medium
child kidnapped from Hardoi City school area,Police (Home Dept),High
meter name change application pending in Village Rampur,Electricity (UPPCL),Low
"poore gaon mein light nahi hai Sigra, Varanasi mein pichle 2 din se",Electricity (UPPCL),High
transformer caught fire in Gonda City and oil is leaking,Electricity (UPPCL),High
mnrega ka paisa nahi mila Village Chhata mein,Rural Development (Panchayati Raj),High
frequent power cuts in Hardoi City is affecting exam preparation,Electricity (UPPCL),Medium
doctor refused to treat critical patient in Village Chhata phc,Health (Medical),High
road construction incomplete in Gonda City,Roads (PWD/NHAI),Medium
"need a sign board direction for Civil Lines, Kanpur village",Roads (PWD/NHAI),Low
passport verification pending at Post Kakori thana for 2 weeks,Police (Home Dept),Low
internet nahi chal raha Village Basrehar panchayat bhavan me,Rural Development (Panchayati Raj),Low
"chori ho gayi hai Village Basrehar mein, police bhejo",Police (Home Dept),High
"open manhole on main road in Unnao City, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
talaab par kabza ho raha hai Tehsil Bikapur gaon mein,Rural Development (Panchayati Raj),Medium
talaab par kabza ho raha hai Mau Tehsil gaon mein,Rural Development (Panchayati Raj),Medium
kachra uthane vali gaadi nahi aayi Agra Fort area mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
bridge railing toot gayi hai Village Chhata mein,Roads (PWD/NHAI),High
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
loudspeaker shor kar raha hai Prayagraj City mein raat ko,Police (Home Dept),Medium
"loudspeaker shor kar raha hai Hazratganj, Lucknow mein raat ko",Police (Home Dept),Medium
talaab par kabza ho raha hai Village Basrehar gaon mein,Rural Development (Panchayati Raj),Medium
character certificate chahiye Village Basrehar police station se,Police (Home Dept),Low
"primary school roof is leaking in Mau Tehsil, dangerous for kids",Rural Development (Panchayati Raj),Medium
frequent power cuts in Village Rampur is affecting exam preparation,Electricity (UPPCL),Medium
ganda paani nalo se aa raha hai Unnao City area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
meter name change application pending in Village Basrehar,Electricity (UPPCL),Low
"road caved in due to heavy rain in Block Malihabad, traffic blocked",Roads (PWD/NHAI),High
meter name change application pending in Raebareli Market,Electricity (UPPCL),Low
vaccine kab lagega Hardoi City center par?,Health (Medical),Low
armed robbery in shop at Gram Panchayat Bojhi market last night,Police (Home Dept),High
character certificate chahiye Sitapur One police station se,Police (Home Dept),Low
"clean water nahi aa raha hai Unnao City mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
pradhan ne paisa kha liya Village Basrehar road ka,Rural Development (Panchayati Raj),High
pradhan embezzled all money for road construction in Post Kakori,Rural Development (Panchayati Raj),High
birth certificate spelling correction request at Barabanki Town,Health (Medical),Low
huge crater in middle of road at Faizabad Chowk causing accidents daily,Roads (PWD/NHAI),High
traffic police asking for bribe at Gonda City crossing,Police (Home Dept),Medium
doctor late aate hain Unnao City hospital mein,Health (Medical),Medium
fake medicine racket operating in Agra Fort area medical stores,Health (Medical),High
sadak toot gayi hai Etawah Main mein,Roads (PWD/NHAI),Medium
garbage truck not coming to Gram Panchayat Bojhi for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
passport verification pending at Remote area of Sonbhadra thana for 2 weeks,Police (Home Dept),Low
stray cattle destroying crops in Tehsil Bikapur farms,Rural Development (Panchayati Raj),Medium
"live wire fell on the street in Raebareli Market, huge danger to kids",Electricity (UPPCL),High
"doctor late aate hain Sigra, Varanasi hospital mein",Health (Medical),Medium
need a sign board direction for Raebareli Market village,Roads (PWD/NHAI),Low
"chori ho gayi hai Gonda City mein, police bhejo",Police (Home Dept),High
"flood water entered village houses in Block Malihabad, need rescue",Rural Development (Panchayati Raj),High
street light pole looking tilted in Orai,Electricity (UPPCL),Low
garbage truck not coming to Remote area of Sonbhadra for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
" मच्छर बहुत हो गए हैं Noida Sector 18 में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"live wire fell on the street in Agra Fort area, huge danger to kids",Electricity (UPPCL),High
request to start sewing center for women in Block Malihabad,Rural Development (Panchayati Raj),Low
x-ray machine kharab hai Faizabad Chowk mein,Health (Medical),Medium
"flood water entered village houses in Village Basrehar, need rescue",Rural Development (Panchayati Raj),High
general query about filing fir online for Tehsil Bikapur resident,Police (Home Dept),Low
loudspeaker shor kar raha hai Orai mein raat ko,Police (Home Dept),Medium
"flood water entered village houses in Village Rampur, need rescue",Rural Development (Panchayati Raj),High
request to start sewing center for women in Remote area of Sonbhadra,Rural Development (Panchayati Raj),Low
"live wire fell on the street in Gomti Nagar, Lucknow, huge danger to kids",Electricity (UPPCL),High
x-ray machine kharab hai Faizabad Chowk mein,Health (Medical),Medium
sadak toot gayi hai Noida Sector 18 mein,Roads (PWD/NHAI),Medium
general query about filing fir online for Gonda City resident,Police (Home Dept),Low
stray cattle destroying crops in Block Malihabad farms,Rural Development (Panchayati Raj),Medium
bridge railing toot gayi hai Agra Fort area mein,Roads (PWD/NHAI),High
"clean water nahi aa raha hai Meerut City mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"footpath tiles broken in some places at Gomti Nagar, Lucknow",Roads (PWD/NHAI),Low
street light pole looking tilted in Ghaziabad,Electricity (UPPCL),Low
phone chori ho gaya Bareilly Cantt market me,Police (Home Dept),Medium
handpump kharab hai Post Kakori mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
unhygienic toilets in the Agra Fort area government hospital,Health (Medical),Medium
fake medicine racket operating in Remote area of Sonbhadra medical stores,Health (Medical),High
sadak par bada gadda hai Raebareli Market market ke paas,Roads (PWD/NHAI),High
pradhan ne paisa kha liya Village Rampur road ka,Rural Development (Panchayati Raj),High
general query about filing fir online for Raebareli Market resident,Police (Home Dept),Low
child kidnapped from Noida Sector 18 school area,Police (Home Dept),High
character certificate chahiye Sitapur One police station se,Police (Home Dept),Low
doctor refused to treat critical patient in Sitapur One phc,Health (Medical),High
potholes needs repair in Hardoi City before monsoon,Roads (PWD/NHAI),Medium
long waiting line for opd registration in Village Basrehar,Health (Medical),Low
meter name change application pending in Basti,Electricity (UPPCL),Low
water pipeline leakage wasting water in Village Chhata,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
zebra crossing repaint kara do Unnao City chowk par,Roads (PWD/NHAI),Low
meter name change application pending in Raebareli Market,Electricity (UPPCL),Low
dogs roaming inside the ward at Tehsil Bikapur chc,Health (Medical),Medium
garbage truck not coming to Agra Fort area for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
internet nahi chal raha Block Malihabad panchayat bhavan me,Rural Development (Panchayati Raj),Low
park needs cleaning in Ghaziabad residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
x-ray machine kharab hai Noida Sector 18 mein,Health (Medical),Medium
"character certificate chahiye Gomti Nagar, Lucknow police station se",Police (Home Dept),Low
water pipeline leakage wasting water in Gram Kachhona,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"ambulance nahi aa rahi Village Rampur mein, patient serious hai",Health (Medical),High
village pond is being encroached by builder in Gram Kachhona,Rural Development (Panchayati Raj),Medium
"chori ho gayi hai Agra Fort area mein, police bhejo",Police (Home Dept),High
huge crater in middle of road at Sitapur One causing accidents daily,Roads (PWD/NHAI),High
" मच्छर बहुत हो गए हैं Gonda City में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
talaab par kabza ho raha hai Village Chhata gaon mein,Rural Development (Panchayati Raj),Medium
doctor refused to treat critical patient in Gram Kachhona phc,Health (Medical),High
"chori ho gayi hai Gonda City mein, police bhejo",Police (Home Dept),High
bridge railing toot gayi hai Village Rampur mein,Roads (PWD/NHAI),High
"unhygienic toilets in the Sigra, Varanasi government hospital",Health (Medical),Medium
character certificate chahiye Tehsil Bikapur police station se,Police (Home Dept),Low
"encroachment by shopkeepers on road in Civil Lines, Kanpur",Roads (PWD/NHAI),Medium
phone chori ho gaya Remote area of Sonbhadra market me,Police (Home Dept),Medium
library books request for Village Rampur village school,Rural Development (Panchayati Raj),Low
character certificate chahiye Unnao City police station se,Police (Home Dept),Low
"live wire fell on the street in Gomti Nagar, Lucknow, huge danger to kids",Electricity (UPPCL),High
sadak par bada gadda hai Unnao City market ke paas,Roads (PWD/NHAI),High
child kidnapped from Unnao City school area,Police (Home Dept),High
"primary school roof is leaking in Village Rampur, dangerous for kids",Rural Development (Panchayati Raj),Medium
"road caved in due to heavy rain in Barabanki Town, traffic blocked",Roads (PWD/NHAI),High
internet nahi chal raha Tehsil Bikapur panchayat bhavan me,Rural Development (Panchayati Raj),Low
"ambulance nahi aa rahi Sigra, Varanasi mein, patient serious hai",Health (Medical),High
zebra crossing repaint kara do Post Kakori chowk par,Roads (PWD/NHAI),Low
mnrega ka paisa nahi mila Remote area of Sonbhadra mein,Rural Development (Panchayati Raj),High
"park needs cleaning in Sigra, Varanasi residential area",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
loudspeaker shor kar raha hai Gram Panchayat Bojhi mein raat ko,Police (Home Dept),Medium
"meter name change application pending in Gomti Nagar, Lucknow",Electricity (UPPCL),Low
library books request for Block Malihabad village school,Rural Development (Panchayati Raj),Low
"Etawah Main me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
vaccine kab lagega Etawah Main center par?,Health (Medical),Low
water pipeline leakage wasting water in Tehsil Bikapur,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
garbage truck not coming to Basti for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"primary school roof is leaking in Village Rampur, dangerous for kids",Rural Development (Panchayati Raj),Medium
public toilet tap is dripping in Barabanki Town,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"open manhole on main road in Village Chhata, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
general query about filing fir online for Noida Sector 18 resident,Police (Home Dept),Low
passport verification pending at Barabanki Town thana for 2 weeks,Police (Home Dept),Low
"flood water entered village houses in Village Chhata, need rescue",Rural Development (Panchayati Raj),High
ganda paani nalo se aa raha hai Basti area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
"sewage water mixing with drinking water in Bareilly Cantt, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
doctor refused to treat critical patient in Etawah Main phc,Health (Medical),High
" मच्छर बहुत हो गए हैं Noida Sector 18 में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
child kidnapped from Gram Panchayat Bojhi school area,Police (Home Dept),High
potholes needs repair in Orai before monsoon,Roads (PWD/NHAI),Medium
"open manhole on main road in Hardoi City, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
vaccine kab lagega Etawah Main center par?,Health (Medical),Low
armed robbery in shop at Mau Tehsil market last night,Police (Home Dept),High
village pond is being encroached by builder in Village Chhata,Rural Development (Panchayati Raj),Medium
handpump kharab hai Hardoi City mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
passport verification pending at Orai thana for 2 weeks,Police (Home Dept),Low
"live wire fell on the street in Village Chhata, huge danger to kids",Electricity (UPPCL),High
poore gaon mein light nahi hai Village Rampur mein pichle 2 din se,Electricity (UPPCL),High
ganda paani nalo se aa raha hai Meerut City area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
frequent power cuts in Mau Tehsil is affecting exam preparation,Electricity (UPPCL),Medium
public toilet tap is dripping in Orai,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
vaccine kab lagega Faizabad Chowk center par?,Health (Medical),Low
armed robbery in shop at Village Basrehar market last night,Police (Home Dept),High
huge crater in middle of road at Tehsil Bikapur causing accidents daily,Roads (PWD/NHAI),High
"ambulance nahi aa rahi Unnao City mein, patient serious hai",Health (Medical),High
park needs cleaning in Noida Sector 18 residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
meter name change application pending in Raebareli Market,Electricity (UPPCL),Low
doctor late aate hain Noida Sector 18 hospital mein,Health (Medical),Medium
vaccine kab lagega Village Basrehar center par?,Health (Medical),Low
talaab par kabza ho raha hai Village Chhata gaon mein,Rural Development (Panchayati Raj),Medium
phone chori ho gaya Gonda City market me,Police (Home Dept),Medium
passport verification pending at Basti thana for 2 weeks,Police (Home Dept),Low
road construction incomplete in Gram Panchayat Bojhi,Roads (PWD/NHAI),Medium
passport verification pending at Ghaziabad thana for 2 weeks,Police (Home Dept),Low
handpump kharab hai Hardoi City mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
solar panel subsidy ki jankari chahiye Village Chhata ke liye,Electricity (UPPCL),Low
garbage truck not coming to Hardoi City for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
doctor late aate hain Village Chhata hospital mein,Health (Medical),Medium
traffic police asking for bribe at Unnao City crossing,Police (Home Dept),Medium
"ambulance nahi aa rahi Prayagraj City mein, patient serious hai",Health (Medical),High
library books request for Village Rampur village school,Rural Development (Panchayati Raj),Low
fake medicine racket operating in Gonda City medical stores,Health (Medical),High
meter reading galat hai Gonda City wale ghar ki,Electricity (UPPCL),Medium
general query about filing fir online for Post Kakori resident,Police (Home Dept),Low
ladayi ho rahi hai Village Basrehar chourahe par,Police (Home Dept),High
"solar panel subsidy ki jankari chahiye Gomti Nagar, Lucknow ke liye",Electricity (UPPCL),Low
birth certificate spelling correction request at Mau Tehsil,Health (Medical),Low
" मच्छर बहुत हो गए हैं Basti में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
road construction incomplete in Block Malihabad,Roads (PWD/NHAI),Medium
zebra crossing repaint kara do Raebareli Market chowk par,Roads (PWD/NHAI),Low
"loudspeaker shor kar raha hai Gomti Nagar, Lucknow mein raat ko",Police (Home Dept),Medium
"ambulance nahi aa rahi Prayagraj City mein, patient serious hai",Health (Medical),High
phone chori ho gaya Noida Sector 18 market me,Police (Home Dept),Medium
ladayi ho rahi hai Village Rampur chourahe par,Police (Home Dept),High
"flood water entered village houses in Gram Panchayat Bojhi, need rescue",Rural Development (Panchayati Raj),High
"road caved in due to heavy rain in Block Malihabad, traffic blocked",Roads (PWD/NHAI),High
ladayi ho rahi hai Bareilly Cantt chourahe par,Police (Home Dept),High
meter name change application pending in Etawah Main,Electricity (UPPCL),Low
unhygienic toilets in the Bareilly Cantt government hospital,Health (Medical),Medium
loudspeaker shor kar raha hai Basti mein raat ko,Police (Home Dept),Medium
birth certificate spelling correction request at Tehsil Bikapur,Health (Medical),Low
x-ray machine kharab hai Post Kakori mein,Health (Medical),Medium
meter reading galat hai Village Basrehar wale ghar ki,Electricity (UPPCL),Medium
need a sign board direction for Village Chhata village,Roads (PWD/NHAI),Low
meter reading galat hai Prayagraj City wale ghar ki,Electricity (UPPCL),Medium
stray cattle destroying crops in Remote area of Sonbhadra farms,Rural Development (Panchayati Raj),Medium
unhygienic toilets in the Mau Tehsil government hospital,Health (Medical),Medium
"ambulance nahi aa rahi Prayagraj City mein, patient serious hai",Health (Medical),High
"general query about filing fir online for Gomti Nagar, Lucknow resident",Police (Home Dept),Low
road construction incomplete in Raebareli Market,Roads (PWD/NHAI),Medium
sadak par bada gadda hai Prayagraj City market ke paas,Roads (PWD/NHAI),High
handpump kharab hai Gram Kachhona mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
meter name change application pending in Gonda City,Electricity (UPPCL),Low
"chori ho gayi hai Sigra, Varanasi mein, police bhejo",Police (Home Dept),High
library books request for Village Basrehar village school,Rural Development (Panchayati Raj),Low
"road construction incomplete in Gomti Nagar, Lucknow",Roads (PWD/NHAI),Medium
bijli ka bill bahut jyada aaya hai Ghaziabad mein,Electricity (UPPCL),Medium
park needs cleaning in Noida Sector 18 residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
ganda paani nalo se aa raha hai Barabanki Town area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
character certificate chahiye Meerut City police station se,Police (Home Dept),Low
zebra crossing repaint kara do Gonda City chowk par,Roads (PWD/NHAI),Low
" मच्छर बहुत हो गए हैं Raebareli Market में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
footpath tiles broken in some places at Unnao City,Roads (PWD/NHAI),Low
sadak toot gayi hai Noida Sector 18 mein,Roads (PWD/NHAI),Medium
"mobile phone snatched while walking in Gomti Nagar, Lucknow",Police (Home Dept),Medium
"road caved in due to heavy rain in Civil Lines, Kanpur, traffic blocked",Roads (PWD/NHAI),High
loudspeaker shor kar raha hai Remote area of Sonbhadra mein raat ko,Police (Home Dept),Medium
general query about filing fir online for Barabanki Town resident,Police (Home Dept),Low
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
dogs roaming inside the ward at Prayagraj City chc,Health (Medical),Medium
